two_layer_experiments.py
Python 3.12.8 on Windows-11-10.0.26200-SP0 | seed=20060626 | 2026-06-17
preset=thorough | exp1 configs=250 random=50000 | exp2 sizes=(4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48) reps=20 | exp3 trials=40
Dimensions d = 4  ('proto', 'src', 'dst', 'dport')

==========================================================================
EXPERIMENT 1  Correctness of Phi vs brute force
  (a) exhaustive over SMALL domain (8192 pkts)  (b) random over MEDIUM domain (~33.5M)
==========================================================================
Config  k   t   exhaustive  random  exh mism  rnd mism  anom mism  |Phi|S
cfg219  9   5   8192        50000   0         0         0          11    
cfg220  5   8   8192        50000   0         0         0          5     
cfg221  10  10  8192        50000   0         0         0          38    
cfg222  6   7   8192        50000   0         0         0          15    
cfg223  7   6   8192        50000   0         0         0          70    
cfg224  10  9   8192        50000   0         0         0          78    
cfg225  10  6   8192        50000   0         0         0          19    
cfg226  7   8   8192        50000   0         0         0          32    
cfg227  5   4   8192        50000   0         0         0          6     
cfg228  9   6   8192        50000   0         0         0          7     
cfg229  6   6   8192        50000   0         0         0          14    
cfg230  7   9   8192        50000   0         0         0          2     
cfg231  7   5   8192        50000   0         0         0          10    
cfg232  5   7   8192        50000   0         0         0          40    
cfg233  7   9   8192        50000   0         0         0          13    
cfg234  6   4   8192        50000   0         0         0          17    
cfg235  10  10  8192        50000   0         0         0          30    
cfg236  8   7   8192        50000   0         0         0          17    
cfg237  10  4   8192        50000   0         0         0          46    
cfg238  10  6   8192        50000   0         0         0          7     
cfg239  7   8   8192        50000   0         0         0          27    
cfg240  5   10  8192        50000   0         0         0          2     
cfg241  10  7   8192        50000   0         0         0          4     
cfg242  7   9   8192        50000   0         0         0          16    
cfg243  6   8   8192        50000   0         0         0          29    
cfg244  8   6   8192        50000   0         0         0          19    
cfg245  9   8   8192        50000   0         0         0          33    
cfg246  7   8   8192        50000   0         0         0          27    
cfg247  10  4   8192        50000   0         0         0          2     
cfg248  9   4   8192        50000   0         0         0          7     
cfg249  10  6   8192        50000   0         0         0          28    

250 configs | total packet checks = 14,548,000 | packet mismatches = 0, anomaly mismatches = 0  (expected 0 / 0 -> validates Thm 1 & Thm 5)

==========================================================================
EXPERIMENT 2  Box-count and scaling (FULL domain), reps=20
==========================================================================
rules  k   t   |A(N)|  |A(G)|  |Phi|avg  |Phi|max  grid bound  build ms
-----------------------------------------------------------------------
4      2   2   2       3       1         5         2.74e+04    0.1     
8      4   4   6       7       5         20        1.78e+05    0.4     
12     6   6   11      22      22        53        5.42e+05    1.4     
16     8   8   20      30      56        166       1.09e+06    3.1     
20     10  10  31      55      93        251       1.97e+06    7.3     
24     12  12  52      68      161       287       3.54e+06    13.2    
28     14  14  68      89      207       579       5.06e+06    24.0    
32     16  16  74      153     292       846       8.02e+06    37.6    
36     18  18  92      144     367       1186      1.12e+07    54.1    
40     20  20  94      129     314       670       1.36e+07    46.6    
44     22  22  139     185     524       863       1.84e+07    77.0    
48     24  24  161     210     639       1933      2.51e+07    161.1   

Mean over 20 reps per size. |Phi| stays far below the O((k+t)^d) grid bound -> Thm 2 (worst-case, not typical).

==========================================================================
EXPERIMENT 3a  Anomaly detection on realistic example configs (FULL domain)
==========================================================================
config    |NACL|  |SG|  dead SG  Phi-redun  NACL shadow  W_N box  W_G box
-------------------------------------------------------------------------
web-tier  2       3     1        1          1            6        1      
app-tier  2       3     1        3          1            0        1      
db-tier   3       1     0        0          2            4        0      

==========================================================================
EXPERIMENT 3b  Injection sensitivity (FULL domain): inject 2 dead + 2 redundant
==========================================================================
trial  dead (base->inj)  Phi-redun (base->inj)  d(dead)  d(redun)
-----------------------------------------------------------------
0      1->3              5->10                  2        5       
1      4->8              7->11                  4        4       
2      8->12             8->12                  4        4       
3      1->3              2->8                   2        6       
4      1->3              6->11                  2        5       
5      2->6              7->11                  4        4       
6      0->2              0->6                   2        6       
7      7->12             7->12                  5        5       
8      6->10             10->14                 4        4       
9      2->6              11->15                 4        4       
10     1->3              1->7                   2        6       
11     2->4              5->9                   2        4       
12     4->8              5->9                   4        4       
13     1->3              2->8                   2        6       
14     0->2              5->10                  2        5       
15     4->7              4->9                   3        5       
16     6->9              9->14                  3        5       
17     2->4              10->14                 2        4       
18     1->3              1->7                   2        6       
19     0->2              2->7                   2        5       
20     2->5              7->11                  3        4       
21     0->2              0->6                   2        6       
22     3->6              7->12                  3        5       
23     0->2              1->7                   2        6       
24     0->3              2->7                   3        5       
25     0->2              6->11                  2        5       
26     2->5              2->7                   3        5       
27     5->7              5->11                  2        6       
28     0->4              0->4                   4        4       
29     3->7              5->9                   4        4       
30     1->4              1->6                   3        5       
31     0->3              0->5                   3        5       
32     0->2              11->15                 2        4       
33     0->3              0->5                   3        5       
34     0->2              0->6                   2        6       
35     0->3              4->9                   3        5       
36     6->9              6->11                  3        5       
37     2->5              8->12                  3        4       
38     1->4              1->6                   3        5       
39     2->4              3->9                   2        6       

Injected 2 dead + 2 redundant per trial; deltas >= 2 confirm the injected anomalies are detected (Thm 5 completeness; extra hits are natural anomalies).

Total wall time: 1204.4 s
